,mins,maxs
0,0.208,0.855
1,45.68,130.37
2,0.03,0.326
3,0.00702,0.04464
4,0.225245,0.70902
5,0.10271,0.32
6,0.2,1.6814
7,0.00397,0.05155
8,0.1731,5.6944
9,9.65,37.39
10,0.08241,0.4243
11,0.615,2.908
12,0.01403,0.06225
13,1.5093,10.5572
14,0.8451,7.4436
15,0.78,4.337
16,0.0341,0.1772
17,0.00125,0.01068
18,5.923,16.6048
19,0.1176,0.3988
20,8.25,55.89
21,3.857,18.952
22,1.762,8.691
23,2.75,7.81
24,0.889,2.798
25,0.14895,0.45393
26,89.85,642.29
27,0.182,0.8703
28,0.076,0.74
29,0.303,1.37
30,1.523,21.142
31,15384.3,66765.6
32,3.5e-07,5.07e-06
33,0.1335,0.9672
34,0.0766,0.4556
35,0.0513,0.2788
36,24.36,87.8
37,0.0341,0.2503
38,0.0587,0.3945
39,0.265,1.514
40,0.0944,0.393
41,0.0601,0.2402
42,1.81,7.9
43,0.88974,1.04164
44,21.0,70.283
45,0.0005442,0.0022529
46,0.0549337,0.204178
47,3.4477,10.6312
48,0.973,3.995
49,21.07,68.74
50,0.177,0.695
51,6.37,26.28
52,0.5027,1.8485
53,13.57,42.54
54,1034.24,3715.23
55,1.514,5.137
56,19.11,94.36
57,0.0536,3.0287
58,0.132,0.667
59,2.65,10.493
60,0.2076,0.8839
61,0.371,2.976
62,1.95,7.503
63,0.1655,1.0555
64,3.008,11.954
65,0.012,0.0756
66,0.0092,0.135
67,0.6763,3.0731
68,0.151,0.786
69,0.132,1.107
70,74.99,402.74
71,0.0515,0.41491
72,0.008,0.112
73,0.771,3.294
74,2.724,17.648
75,0.1319,0.3618
76,0.03344,0.11376
77,0.356,3.322
78,1.177,47.551
79,0.0065,0.1366
80,0.00262,0.03762
81,0.055,0.687
82,0.4164,2.235
83,0.06705,0.2588
84,0.002494,0.013417
85,0.189,0.773
86,3.59e-06,2.469e-05
87,0.18,3.7
88,0.4232,2.0409
89,38.6,158.5
90,15.9,65.86
91,0.02861,0.34622
92,0.623,3.461
93,4.68085,19.91139
94,3.48,24.95
95,0.1519,0.4956
96,47.19,103.96
97,5.237e-05,0.00051661
98,0.35884,6.39614
99,0.24966,1.06406
100,1.04,6.356
101,0.4685,1.4246
102,0.149,3.751
103,0.338,1.481
104,0.011,0.311
105,475.8,3645.1
106,12.1,36.364
107,0.0103,0.0515
108,3.468,30.592
109,9.13,225.03
110,0.0143,0.4118
111,0.0053,0.08402
112,0.525025,1.681467
113,0.928,8.149
114,10.01,47.34
115,0.0934,0.4494
116,0.1152,1.333
117,0.0621,0.2856
118,0.289862,2.361351
119,0.36,7.766
120,0.04379,0.15813
121,0.0077,0.1254
122,1644.07,2333.54
123,0.328,1.663
124,0.0745,0.3361
125,0.08,0.648
126,0.1032,0.8859
127,0.0197,0.2498
128,60.58,212.6
129,1.71219,4.9839
130,1.037,3.775
131,0.0502,0.3314
132,0.79,5.49
133,0.13,2.495
134,0.008,0.13031
135,0.0386,0.1764
136,0.433,9.863
137,0.05696,0.19702
138,0.7622,4.212
139,0.3756,12.0568
140,0.33,61.5
141,0.735,9.705
142,0.00219,0.022556
143,0.2617,1.3908
144,0.0005,0.01338
145,0.00209,0.01892
146,0.224,1.456
147,0.154,0.554
148,0.00355,0.0295
149,6.04e-06,3.308e-05
150,1.341,4.693
151,9.03,187.78
152,0.000352,0.001666
153,0.03,1.104
154,0.0074,0.0827
155,0.20451,0.97442
156,0.0673,1.3895
157,0.501,1.983
158,0.014,0.05682
159,14581.0,66666.0
160,0.131,1.2929
161,0.00869,0.03346
162,0.32,2.16
163,0.048242,0.1317
164,0.01694,0.31283
165,1.183,5.546
166,2.772,13.699
167,3.679,14.121
168,0.8898,1.0421
169,0.8899,1.0419
170,0.00989,0.0622
171,0.8354,6.1327
172,14592.0,66379.4
173,0.105,0.5593
174,0.066304,0.146408
175,97.58,171.59
176,0.31028,0.73153
177,1.61,10.3
178,0.5896,1.87
179,4630.0,13215.0
180,0.123,1.56
181,18.0,78.683
182,0.138,1.241
